https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume EUR,tradecount
1741046400000,2025-03-04,LINKEUR,13.7,14.45,12.44,13.99,62515.42,825356.8522,5323
1740960000000,2025-03-03,LINKEUR,16.74,16.78,13.71,13.78,51525.42,772612.4358,4588
1740873600000,2025-03-02,LINKEUR,14.24,16.85,13.89,16.76,69057.78,1092541.9746,8161
1740787200000,2025-03-01,LINKEUR,14.28,14.6,13.73,14.24,21796.39,309489.4758,1823
1740700800000,2025-02-28,LINKEUR,14.52,14.61,12.93,14.28,44187.55,602131.2691,4653
1740614400000,2025-02-27,LINKEUR,14.53,15.06,14.2,14.54,22288.79,327714.3307,3319
1740528000000,2025-02-26,LINKEUR,14.55,15.02,13.99,14.52,34728.5,503832.0929,4914
1739836800000,2025-02-18,LINKEUR,18.25,18.29,16.55,17.07,35894.39,618521.2914,2835
1739750400000,2025-02-17,LINKEUR,17.92,18.89,17.53,18.22,13341.88,244095.8846,1739
1739664000000,2025-02-16,LINKEUR,18.11,18.35,17.72,17.86,8249.01,148701.3208,928
1739577600000,2025-02-15,LINKEUR,18.46,18.73,17.89,18.12,7776.35,141450.6334,953
1739491200000,2025-02-14,LINKEUR,17.75,18.91,17.67,18.5,33404.19,612930.6939,2067
1739404800000,2025-02-13,LINKEUR,18.45,18.57,17.47,17.69,16771.96,297406.4921,1564
1739318400000,2025-02-12,LINKEUR,18.09,18.77,17.07,18.5,26139.46,463669.698,2923
1739232000000,2025-02-11,LINKEUR,18.29,19.24,17.63,18.01,18553.36,343713.0006,2127
1739145600000,2025-02-10,LINKEUR,17.72,18.53,17.2,18.19,18448.99,334151.6696,1959
1739059200000,2025-02-09,LINKEUR,17.85,18.43,16.97,17.76,23480.7,415625.3372,2292
1738972800000,2025-02-08,LINKEUR,17.8,18.04,17.36,17.93,11152.97,196423.7757,1804
1738886400000,2025-02-07,LINKEUR,17.92,19.21,17.25,17.75,37731.33,695047.9865,6183
1738800000000,2025-02-06,LINKEUR,18.46,19.23,17.75,17.92,30128.17,554986.6267,5617
1738713600000,2025-02-05,LINKEUR,19.3,19.54,18.24,18.47,26097.94,492977.4045,5156
1738627200000,2025-02-04,LINKEUR,21.04,21.07,18.66,19.31,48228.65,948806.3955,9778
1738540800000,2025-02-03,LINKEUR,19.98,21.48,15.03,20.97,169655.08,3196209.5684,22372
1738454400000,2025-02-02,LINKEUR,22.25,22.58,18.89,20.01,81880.45,1706048.2232,10634
1738368000000,2025-02-01,LINKEUR,24.34,25.1,22.08,22.31,37274.34,877605.7554,4774
1738281600000,2025-01-31,LINKEUR,23.67,25.4,23.24,24.33,37226.64,906222.0675,4807
1738195200000,2025-01-30,LINKEUR,22.69,24.11,22.48,23.5,15834.12,373159.6349,2715
1738108800000,2025-01-29,LINKEUR,21.69,23.46,21.48,22.64,40465.34,905790.5967,5509
1738022400000,2025-01-28,LINKEUR,23.18,23.62,21.47,21.7,31126.38,710720.7643,3471
1737936000000,2025-01-27,LINKEUR,23.76,23.99,21.14,23.16,52099.01,1167456.0347,6640
1737849600000,2025-01-26,LINKEUR,23.75,25.15,23.73,23.78,22258.85,545060.6734,2947
1737763200000,2025-01-25,LINKEUR,23.99,24.27,23.59,23.77,20153.52,481375.8716,2183
1737676800000,2025-01-24,LINKEUR,24.69,25.2,23.86,24.01,29313.6,723342.6172,3446
1737590400000,2025-01-23,LINKEUR,24.3,25.39,23.0,24.69,40662.94,980502.9795,5058
1737504000000,2025-01-22,LINKEUR,25.61,26.1,24.15,24.32,18223.31,450944.752,2868
